Name,dark,BG_100,BG_90,BG_80,BG_70,BG_60,BG_50,BG_40,BG_30,BG_10,BG_20,BG_0
419 nm,4.14E-08,9.57E-06,8.25E-06,8.35E-06,7.24E-06,6.05E-06,5.00E-06,4.33E-06,3.17E-06,1.23E-06,2.41E-06,4.65E-07
420 nm,0.00E+00,1.18E-05,1.08E-05,9.67E-06,7.51E-06,6.93E-06,5.58E-06,4.90E-06,4.04E-06,1.78E-06,2.48E-06,5.16E-07
421 nm,7.12E-10,1.35E-05,1.24E-05,1.03E-05,9.54E-06,8.26E-06,6.80E-06,5.64E-06,4.56E-06,2.42E-06,3.71E-06,4.99E-07
422 nm,7.16E-11,1.50E-05,1.35E-05,1.17E-05,1.10E-05,9.74E-06,7.74E-06,6.88E-06,5.12E-06,1.81E-06,3.20E-06,8.01E-07
423 nm,7.09E-10,1.77E-05,1.62E-05,1.35E-05,1.30E-05,1.06E-05,9.32E-06,7.59E-06,5.77E-06,2.71E-06,4.23E-06,9.09E-07
424 nm,0.00E+00,1.99E-05,1.80E-05,1.62E-05,1.42E-05,1.18E-05,1.05E-05,8.66E-06,6.68E-06,2.86E-06,4.56E-06,9.45E-07
425 nm,2.99E-08,2.23E-05,2.03E-05,1.83E-05,1.63E-05,1.41E-05,1.17E-05,9.77E-06,7.47E-06,3.21E-06,5.27E-06,1.12E-06
426 nm,7.49E-09,2.60E-05,2.22E-05,2.03E-05,1.81E-05,1.58E-05,1.34E-05,1.10E-05,8.47E-06,3.64E-06,5.85E-06,1.14E-06
427 nm,1.43E-10,2.90E-05,2.52E-05,2.34E-05,2.07E-05,1.73E-05,1.45E-05,1.20E-05,9.58E-06,4.10E-06,6.86E-06,1.55E-06
428 nm,0.00E+00,3.17E-05,2.82E-05,2.61E-05,2.23E-05,1.97E-05,1.65E-05,1.35E-05,1.09E-05,4.58E-06,7.36E-06,1.56E-06
429 nm,5.24E-10,3.57E-05,3.17E-05,2.86E-05,2.52E-05,2.21E-05,1.83E-05,1.48E-05,1.18E-05,5.20E-06,8.54E-06,1.73E-06
430 nm,0.00E+00,3.88E-05,3.53E-05,3.16E-05,2.73E-05,2.39E-05,2.03E-05,1.64E-05,1.32E-05,5.69E-06,9.33E-06,2.20E-06
431 nm,5.22E-09,4.29E-05,3.84E-05,3.38E-05,3.00E-05,2.63E-05,2.28E-05,1.89E-05,1.40E-05,5.99E-06,1.02E-05,2.12E-06
432 nm,0.00E+00,4.69E-05,4.30E-05,3.77E-05,3.33E-05,2.81E-05,2.42E-05,2.01E-05,1.59E-05,6.92E-06,1.12E-05,2.60E-06
433 nm,3.49E-07,5.20E-05,4.65E-05,4.14E-05,3.62E-05,3.15E-05,2.69E-05,2.19E-05,1.77E-05,7.56E-06,1.25E-05,2.56E-06
434 nm,8.62E-07,5.57E-05,5.12E-05,4.59E-05,4.03E-05,3.48E-05,2.97E-05,2.46E-05,1.93E-05,8.90E-06,1.41E-05,3.73E-06
435 nm,1.49E-06,6.21E-05,5.54E-05,4.96E-05,4.40E-05,3.91E-05,3.29E-05,2.66E-05,2.15E-05,1.03E-05,1.61E-05,4.56E-06
436 nm,1.51E-06,6.73E-05,5.95E-05,5.39E-05,4.81E-05,4.09E-05,3.52E-05,2.90E-05,2.39E-05,1.09E-05,1.68E-05,4.64E-06
437 nm,1.25E-06,7.09E-05,6.42E-05,5.77E-05,5.04E-05,4.43E-05,3.80E-05,3.12E-05,2.45E-05,1.14E-05,1.81E-05,4.43E-06
438 nm,7.20E-07,7.65E-05,6.82E-05,6.07E-05,5.39E-05,4.64E-05,3.92E-05,3.27E-05,2.62E-05,1.15E-05,1.85E-05,4.18E-06
439 nm,3.48E-07,8.10E-05,7.26E-05,6.48E-05,5.74E-05,4.99E-05,4.20E-05,3.51E-05,2.73E-05,1.21E-05,1.91E-05,4.37E-06
