,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100,green_0
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:36am,11:36am,11:36am,11:36am,11:37am,11:37am,11:37am,11:37am,11:37am,11:37am,11:40am
T_int [ms],6762,3906,2672,2064,1697,1483,1281,1000,1000,929,312
460 nm,9.10910E-07,9.78947E-07,8.03269E-07,1.37272E-06,1.82347E-06,1.34428E-06,9.26675E-07,1.44096E-06,2.14192E-06,1.53601E-06,5.97610E-07
461 nm,8.93457E-07,5.13629E-07,1.47292E-06,5.65031E-07,1.33659E-06,1.70048E-06,1.49871E-06,2.22301E-06,1.97713E-06,1.86647E-06,7.71069E-07
462 nm,8.97912E-07,6.69044E-07,9.30271E-07,1.80083E-06,1.26860E-06,1.19054E-06,2.75183E-06,1.76406E-06,2.37536E-06,2.61675E-06,6.62254E-07
463 nm,6.10389E-07,9.33709E-07,1.83369E-06,1.29301E-06,1.52400E-06,7.38929E-07,1.88312E-06,2.44639E-06,2.41982E-06,3.95423E-06,0.00000E+00
464 nm,1.07986E-06,2.02325E-06,1.23478E-06,1.37565E-06,1.99680E-06,1.97355E-06,2.64815E-06,2.47242E-06,1.19127E-06,2.99666E-06,2.10783E-08
465 nm,7.58305E-07,1.29467E-06,1.36376E-06,1.97617E-06,1.80315E-06,2.72811E-06,2.30302E-06,3.30441E-06,3.55840E-06,2.59398E-06,5.22189E-08
466 nm,1.22793E-06,1.30587E-06,2.26277E-06,2.16206E-06,2.38822E-06,2.22746E-06,3.36154E-06,4.57964E-06,3.12267E-06,3.64128E-06,1.88833E-06
467 nm,8.67379E-07,1.72930E-06,1.32276E-06,1.47666E-06,1.91855E-06,2.64817E-06,3.61346E-06,3.10480E-06,4.29468E-06,4.71292E-06,2.12044E-06
468 nm,1.12495E-06,1.97633E-06,2.58129E-06,2.08106E-06,2.35499E-06,2.75254E-06,3.39485E-06,3.43362E-06,4.64754E-06,5.11282E-06,1.64162E-06
469 nm,1.12220E-06,1.55010E-06,2.42989E-06,2.91621E-06,3.60861E-06,4.12080E-06,3.95825E-06,5.40950E-06,5.70459E-06,5.48565E-06,1.94130E-07
